视频名称,评价A来源,评价B来源,是否交换
20251118141710720_clip_910.mp4,真实标注,模型预测,否
202511181420010_clip_1054.mp4,真实标注,模型预测,否
202511181420010_clip_1502.mp4,模型预测,真实标注,是
20251118142144832_clip_90.mp4,模型预测,真实标注,是
20251118142144832_clip_976.mp4,模型预测,真实标注,是
20251118142443408_clip_1116.mp4,模型预测,真实标注,是
20251118142443408_clip_176.mp4,模型预测,真实标注,是
20251118142443408_clip_660.mp4,真实标注,模型预测,否
2025111814253983_clip_740.mp4,真实标注,模型预测,否
20251118142640151_clip_212.mp4,模型预测,真实标注,是
20251118142640151_clip_980.mp4,模型预测,真实标注,是
20251118142949163_clip_1224.mp4,模型预测,真实标注,是
20251118142949163_clip_129.mp4,真实标注,模型预测,否
20251118142949163_clip_867.mp4,真实标注,模型预测,否
20251118143057375_clip_198.mp4,真实标注,模型预测,否
20251118143057375_clip_587.mp4,模型预测,真实标注,是
2025111814315379_clip_127.mp4,模型预测,真实标注,是
2025111814315379_clip_925.mp4,模型预测,真实标注,是
20251119100157780_clip_107.mp4,模型预测,真实标注,是
20251119100157780_clip_783.mp4,真实标注,模型预测,否
20251119100252774_clip_114.mp4,真实标注,模型预测,否
20251119100252774_clip_803.mp4,真实标注,模型预测,否
20251119100421242_clip_909.mp4,真实标注,模型预测,否
20251119100421242_clip_93.mp4,模型预测,真实标注,是
2025111910052566_clip_220.mp4,真实标注,模型预测,否
2025111910052566_clip_603.mp4,真实标注,模型预测,否
2025111910100513_clip_830.mp4,真实标注,模型预测,否
2025111910100513_clip_94.mp4,真实标注,模型预测,否
20251119101202453_clip_291.mp4,真实标注,模型预测,否
20251119101202453_clip_654.mp4,真实标注,模型预测,否
20251119101202453_clip_981.mp4,真实标注,模型预测,否
20251119101320541_clip_1223.mp4,模型预测,真实标注,是
20251119101320541_clip_391.mp4,模型预测,真实标注,是
20251119101320541_clip_825.mp4,模型预测,真实标注,是
2025111910200424_clip_239.mp4,真实标注,模型预测,否
20251119102149800_clip_390.mp4,真实标注,模型预测,否
20251119102149800_clip_56.mp4,模型预测,真实标注,是
20251119102149800_clip_864.mp4,模型预测,真实标注,是
20251119102249772_clip_786.mp4,真实标注,模型预测,否
20251119102249772_clip_90.mp4,模型预测,真实标注,是
20251119102512864_clip_1081.mp4,真实标注,模型预测,否
20251119102512864_clip_218.mp4,真实标注,模型预测,否
20251119102512864_clip_680.mp4,模型预测,真实标注,是
20251119102959667_clip_168.mp4,模型预测,真实标注,是
20251119102959667_clip_758.mp4,模型预测,真实标注,是
20251119103050443_clip_419.mp4,真实标注,模型预测,否
20251119103050443_clip_59.mp4,真实标注,模型预测,否
20251119103050443_clip_737.mp4,模型预测,真实标注,是
20251119103140679_clip_1004.mp4,真实标注,模型预测,否
20251119103140679_clip_231.mp4,模型预测,真实标注,是
20251119103140679_clip_689.mp4,模型预测,真实标注,是
20251119103408511_clip_1017.mp4,真实标注,模型预测,否
20251119103408511_clip_51.mp4,模型预测,真实标注,是
20251119103517239_clip_140.mp4,真实标注,模型预测,否
20251119103517239_clip_905.mp4,真实标注,模型预测,否
20251119103618135_clip_181.mp4,模型预测,真实标注,是
20251119103618135_clip_602.mp4,模型预测,真实标注,是
